path,vertex,name,x_mm,y_mm,interior_deg,exterior_turn_deg,outside_sector_deg
3,7,Lower-left tip,-44.40904472594844,-68.98747052128647,32.39949187644041,147.6005081235596,327.6005081235596
3,8,Lower-left notch,-25.56604277889808,-11.381674744835435,249.00277374207403,-69.00277374207403,110.99722625792597
3,9,Left tip,-65.8818891031045,21.394135309550272,39.11027826203653,140.88972173796347,320.88972173796344
3,10,Upper-left notch,-15.035563777090779,21.394135309550272,251.68796729038885,-71.68796729038885,108.31203270961115
4,1,Top tip,0.0,54.7574247915917,36.62406541922229,143.3759345807777,323.3759345807777
4,2,Upper-right notch,12.296489048373456,17.602453027004465,251.68796729038885,-71.68796729038885,108.31203270961115
4,3,Right tip,55.2071674454826,17.602453027004465,39.11027826203653,140.88972173796347,320.88972173796344
4,4,Lower-right notch,21.152043743955808,-10.083540635236275,249.00277374207403,-69.00277374207403,110.99722625792597
4,5,Lower-right tip,36.74771105042949,-57.76176241639099,32.39949187644041,147.6005081235596,327.6005081235596
4,6,Bottom notch,0.0,-27.48279690745168,258.9749122388981,-78.97491223889813,101.02508776110187
4,7,Lower-left tip,-36.74771105042949,-57.76176241639099,32.39949187644041,147.6005081235596,327.6005081235596
4,8,Lower-left notch,-21.152043743955808,-10.083540635236275,249.00277374207403,-69.00277374207403,110.99722625792597
4,9,Left tip,-55.2071674454826,17.602453027004465,39.11027826203653,140.88972173796347,320.88972173796344
4,10,Upper-left notch,-12.296489048373456,17.602453027004465,251.68796729038885,-71.68796729038885,108.31203270961115
5,1,Top tip,0.0,35.4489440436377,36.62406541922229,143.3759345807777,323.3759345807777
5,2,Upper-right notch,7.914059486295509,11.535885966668236,251.68796729038885,-71.68796729038885,108.31203270961115
5,3,Right tip,38.1279635563565,11.535885966668236,39.1102782620365,140.8897217379635,320.8897217379635
5,4,Lower-right notch,14.08979032863073,-8.006568715556966,249.00277374207403,-69.00277374207403,110.99722625792597
5,5,Lower-right tip,24.48982891507773,-39.80099831661418,32.39949187644041,147.6005081235596,327.6005081235596
5,6,Bottom notch,0.0,-19.622144618166026,258.9749122388981,-78.97491223889813,101.02508776110187
5,7,Lower-left tip,-24.48982891507773,-39.80099831661418,32.39949187644041,147.6005081235596,327.6005081235596
5,8,Lower-left notch,-14.08979032863073,-8.006568715556966,249.00277374207403,-69.00277374207403,110.99722625792597
5,9,Left tip,-38.1279635563565,11.535885966668236,39.1102782620365,140.8897217379635,320.8897217379635
5,10,Upper-left notch,-7.914059486295509,11.535885966668236,251.68796729038885,-71.68796729038885,108.31203270961115
6,1,Top tip,0.0,23.78481474698961,36.62406541922229,143.3759345807777,323.3759345807777
6,2,Upper-right notch,5.266661914586166,7.871111741174278,251.68796729038885,-71.68796729038885,108.31203270961115
6,3,Right tip,27.810526102470263,7.871111741174278,39.11027826203653,140.88972173796347,320.88972173796344
6,4,Lower-right notch,9.823528366473244,-6.751883309030931,249.002773742074,-69.00277374207401,110.997226257926
6,5,Lower-right tip,17.084920989063612,-28.951015997389447,32.39949187644041,147.6005081235596,327.6005081235596
6,6,Bottom notch,0.0,-14.873575020429229,258.97491223889807,-78.97491223889809,101.02508776110193
6,7,Lower-left tip,-17.084920989063612,-28.951015997389447,32.39949187644041,147.6005081235596,327.6005081235596
6,8,Lower-left notch,-9.823528366473244,-6.751883309030931,249.002773742074,-69.00277374207401,110.997226257926
6,9,Left tip,-27.810526102470263,7.871111741174278,39.11027826203653,140.88972173796347,320.88972173796344
6,10,Upper-left notch,-5.266661914586166,7.871111741174278,251.68796729038885,-71.68796729038885,108.31203270961115
